[07-29 16:50:44]1,Short Sword, Character ID:3
[07-29 16:50:44]2,Long Sword, Character ID:3
[07-29 16:50:44]3,Fencing Sword, Character ID:3
[07-29 16:50:44]4,Serpentine Sword, Character ID:3
[07-29 16:50:44]5,Dazzling Sword, Character ID:3
[07-29 16:50:44]6,Wyrm Sword, Character ID:3
[07-29 16:50:44]7,Sacro Sword, Character ID:3
[07-29 16:50:44]10,Short Metal Sword, Character ID:3
[07-29 16:50:44]11,Steel Sword, Character ID:3
[07-29 16:50:44]12,Striking Sword, Character ID:3
[07-29 16:50:44]13,Two Handed Sword, Character ID:3
[07-29 16:50:44]14,Warrior Sword, Character ID:3
[07-29 16:50:44]15,Criss Sword, Character ID:3
[07-29 16:50:44]16,Paladin Sword, Character ID:3
[07-29 16:50:44]17,Bone Sword, Character ID:3
[07-29 16:50:44]18,Thunder Blade, Character ID:3
[07-29 16:50:44]19,Onyx Sword, Character ID:3
[07-29 16:50:44]20,Rebel Sword, Character ID:3
[07-29 16:50:44]21,Charging Sword, Character ID:3
[07-29 16:50:44]22,Crescent Sword, Character ID:3
[07-29 16:50:44]23,Delusion Sword, Character ID:3
[07-29 16:50:44]25,Short Bow, Character ID:2
[07-29 16:50:44]26,Long Bow, Character ID:2
[07-29 16:50:44]27,Tribal Bow, Character ID:2
[07-29 16:50:44]28,Meteor Bow, Character ID:2
[07-29 16:50:44]29,Recca Bow, Character ID:2
[07-29 16:50:44]30,Bow of Dawn, Character ID:2
[07-29 16:50:44]31,Bow of Dusk, Character ID:2
[07-29 16:50:44]32,Hunter Bow, Character ID:2
[07-29 16:50:44]33,Battle Bow, Character ID:2
[07-29 16:50:44]34,Marksman Bow, Character ID:2
[07-29 16:50:44]37,Firegun, Character ID:2
[07-29 16:50:44]38,Fire-Rifle, Character ID:2
[07-29 16:50:44]39,Exquisite Pistol, Character ID:2
[07-29 16:50:44]40,Exquisite Rifle, Character ID:2
[07-29 16:50:44]41,Laser Gun, Character ID:2
[07-29 16:50:44]42,Venom Gun, Character ID:2
[07-29 16:50:44]43,Firegun of Sol, Character ID:2
[07-29 16:50:44]44,Token Pistol, Character ID:2
[07-29 16:50:44]45,Gattling Firegun, Character ID:2
[07-29 16:50:44]73,Dagger, Character ID:2
[07-29 16:50:44]74,Kris, Character ID:2
[07-29 16:50:44]75,Trident, Character ID:2
[07-29 16:50:44]76,Moon Kris, Character ID:2
[07-29 16:50:44]77,Hyena Dagger, Character ID:2
[07-29 16:50:44]78,Dagger of Hydra, Character ID:2
[07-29 16:50:44]79,Trident of Poseidon, Character ID:2
[07-29 16:50:44]80,Sharp Dagger, Character ID:2
[07-29 16:50:44]81,Swift Kris, Character ID:2
[07-29 16:50:44]82,Pointed Kris, Character ID:2
[07-29 16:50:44]83,Crystalline Kris, Character ID:2
[07-29 16:50:44]84,Vampiric Kris, Character ID:2
[07-29 16:50:44]97,Mystic Branch, Character ID:1
[07-29 16:50:44]98,Wooden Stick, Character ID:1
[07-29 16:50:44]99,Magical Staff, Character ID:1
[07-29 16:50:44]100,Grace Wand, Character ID:1
[07-29 16:50:44]101,Beastly Wand, Character ID:1
[07-29 16:50:44]102,Thundorian Staff, Character ID:1
[07-29 16:50:44]103,Staff of Life, Character ID:1
[07-29 16:50:44]104,Wooden Stave, Character ID:1
[07-29 16:50:44]105,Hand Stave, Character ID:1
[07-29 16:50:44]106,Blessing Stave, Character ID:1
[07-29 16:50:44]107,Battle Stave, Character ID:1
[07-29 16:50:44]108,Lotus Staff, Character ID:1
[07-29 16:50:44]109,Staff of Wonders, Character ID:1
[07-29 16:50:44]110,Revered Staff, Character ID:1
[07-29 16:50:44]111,Demon Bane Rod, Character ID:1
[07-29 16:50:44]112,Crimson Rod, Character ID:1
[07-29 16:50:44]113,Draco, Character ID:3
[07-29 16:50:44]114,Drakan, Character ID:3
[07-29 16:50:44]115,Crag, Character ID:3
[07-29 16:50:44]116,Colossus, Character ID:3
[07-29 16:50:44]117,Rainbow, Character ID:2
[07-29 16:50:44]118,Twilight, Character ID:2
[07-29 16:50:44]119,Meteor Pearl, Character ID:2
[07-29 16:50:44]120,Blitz Thunderbolt, Character ID:2
[07-29 16:50:44]121,Husk Shield, Character ID:3
[07-29 16:50:44]122,Steel Shield, Character ID:3
[07-29 16:50:44]123,Tower Shield, Character ID:3
[07-29 16:50:44]124,Feather Shield, Character ID:3
[07-29 16:50:44]125,Crevice Shield, Character ID:3
[07-29 16:50:44]126,Blessed Shield, Character ID:3
[07-29 16:50:44]127,Wyrm Shield, Character ID:3
[07-29 16:50:44]135,Arrow 01, Character ID:1
[07-29 16:50:44]149,Gunpowder 01, Character ID:1
[07-29 16:50:44]150,Visceral, Character ID:2
[07-29 16:50:44]151,Riven Soul, Character ID:2
[07-29 16:50:44]200,Left Plaster Glove, Character ID:1
[07-29 16:50:44]201,Left Brawler Glove, Character ID:1
[07-29 16:50:44]202,Left Master Glove, Character ID:1
[07-29 16:50:44]203,Left Jagged Blade, Character ID:1
[07-29 16:50:44]204,Left Cosmo Blade, Character ID:1
[07-29 16:50:44]205,Left Tiger Glove, Character ID:1
[07-29 16:50:44]206,Left Hand of Death, Character ID:1
[07-29 16:50:44]228,Raging Bull Tattoo, Character ID:3
[07-29 16:50:44]229,Savage Bull Tattoo, Character ID:3
[07-29 16:50:44]230,Primal Tattoo, Character ID:3
[07-29 16:50:44]290,Husk Armor, Character ID:3
[07-29 16:50:44]291,Thick Armor, Character ID:3
[07-29 16:50:44]292,Leather Armor, Character ID:3
[07-29 16:50:44]293,Rhino Hide Armor, Character ID:3
[07-29 16:50:44]294,Tiger Hide Armor, Character ID:3
[07-29 16:50:44]295,Breast Plate, Character ID:3
[07-29 16:50:44]296,Soft Leather Armor, Character ID:3
[07-29 16:50:44]297,Heavy Leather Armor, Character ID:3
[07-29 16:50:44]298,Strong Leather Armor, Character ID:3
[07-29 16:50:44]299,Mithril Platemail, Character ID:3
[07-29 16:50:44]300,Chain Mail, Character ID:3
[07-29 16:50:44]301,Strong Platemail, Character ID:3
[07-29 16:50:44]302,Light Platemail, Character ID:3
[07-29 16:50:44]303,Silver Platemail, Character ID:3
[07-29 16:50:44]304,Ceremonial Platemail, Character ID:3
[07-29 16:50:44]305,Coarse Vest, Character ID:2
[07-29 16:50:44]306,Canvas Vest, Character ID:2
[07-29 16:50:44]307,Exquisite Vest, Character ID:2
[07-29 16:50:44]308,Leather Vest, Character ID:2
[07-29 16:50:44]309,Warrior Frock, Character ID:2
[07-29 16:50:44]310,Feather Vest, Character ID:2
[07-29 16:50:44]311,Safari Vest, Character ID:2
[07-29 16:50:44]312,Emerald Vest, Character ID:2
[07-29 16:50:44]313,Hunter Vest, Character ID:2
