[07-30 16:09:01]135,Arrow 01, Character ID:1
[07-30 16:09:01]149,Gunpowder 01, Character ID:1
[07-30 16:09:01]200,Left Plaster Glove, Character ID:1
[07-30 16:09:01]201,Left Brawler Glove, Character ID:1
[07-30 16:09:01]202,Left Master Glove, Character ID:1
[07-30 16:09:01]203,Left Jagged Blade, Character ID:1
[07-30 16:09:01]204,Left Cosmo Blade, Character ID:1
[07-30 16:09:01]205,Left Tiger Glove, Character ID:1
[07-30 16:09:01]206,Left Hand of Death, Character ID:1
[07-30 16:09:01]228,Raging Bull Tattoo, Character ID:3
[07-30 16:09:01]229,Savage Bull Tattoo, Character ID:3
[07-30 16:09:01]230,Primal Tattoo, Character ID:3
[07-30 16:09:01]290,Husk Armor, Character ID:3
[07-30 16:09:01]291,Thick Armor, Character ID:3
[07-30 16:09:01]292,Leather Armor, Character ID:3
[07-30 16:09:01]293,Rhino Hide Armor, Character ID:3
[07-30 16:09:01]294,Tiger Hide Armor, Character ID:3
[07-30 16:09:01]295,Breast Plate, Character ID:3
[07-30 16:09:01]296,Soft Leather Armor, Character ID:3
[07-30 16:09:01]297,Heavy Leather Armor, Character ID:3
[07-30 16:09:01]298,Strong Leather Armor, Character ID:3
[07-30 16:09:01]299,Mithril Platemail, Character ID:3
[07-30 16:09:01]300,Chain Mail, Character ID:3
[07-30 16:09:01]301,Strong Platemail, Character ID:3
[07-30 16:09:01]302,Light Platemail, Character ID:3
[07-30 16:09:01]303,Silver Platemail, Character ID:3
[07-30 16:09:01]304,Ceremonial Platemail, Character ID:3
[07-30 16:09:01]305,Coarse Vest, Character ID:2
[07-30 16:09:01]306,Canvas Vest, Character ID:2
[07-30 16:09:01]307,Exquisite Vest, Character ID:2
[07-30 16:09:01]308,Leather Vest, Character ID:2
[07-30 16:09:01]309,Warrior Frock, Character ID:2
[07-30 16:09:01]310,Feather Vest, Character ID:2
[07-30 16:09:01]311,Safari Vest, Character ID:2
[07-30 16:09:01]312,Emerald Vest, Character ID:2
[07-30 16:09:01]313,Hunter Vest, Character ID:2
[07-30 16:09:01]314,Slick Vest, Character ID:2
[07-30 16:09:01]315,Peacock Vest, Character ID:2
[07-30 16:09:01]316,Ringdove Vest, Character ID:2
[07-30 16:09:01]317,Raptor Vest, Character ID:2
[07-30 16:09:01]335,Cloth Shirt, Character ID:2
[07-30 16:09:01]336,Tough Vest, Character ID:2
[07-30 16:09:01]337,Explorer Vest, Character ID:2
[07-30 16:09:01]338,Adventure Vest, Character ID:2
[07-30 16:09:01]339,Helmsman Vest, Character ID:2
[07-30 16:09:01]340,Oarsman Vest, Character ID:2
[07-30 16:09:01]341,Deckman Vest, Character ID:2
[07-30 16:09:01]342,Mastman Vest, Character ID:2
[07-30 16:09:01]343,Hurricane Vest, Character ID:2
[07-30 16:09:01]344,Whirlpool Vest, Character ID:2
[07-30 16:09:01]345,Wind Vest, Character ID:2
[07-30 16:09:01]350,Crabby Costume, Character ID:1
[07-30 16:09:01]351,Rooroo Costume, Character ID:1
[07-30 16:09:01]352,Playful Racoon Costume, Character ID:1
[07-30 16:09:01]353,Duckling Costume, Character ID:1
[07-30 16:09:01]354,Big Crab Costume, Character ID:1
[07-30 16:09:01]355,Lobster Costume, Character ID:1
[07-30 16:09:01]356,Ducky Costume, Character ID:1
[07-30 16:09:01]357,Prawn Costume, Character ID:1
[07-30 16:09:01]358,Pincer Costume, Character ID:1
[07-30 16:09:01]359,Sheepy Costume, Character ID:1
[07-30 16:09:01]360,Meowy Costume, Character ID:1
[07-30 16:09:01]361,Owl Costume, Character ID:1
[07-30 16:09:01]362,Hopperoo Costume, Character ID:1
[07-30 16:09:01]363,Clever Otter Costume, Character ID:1
[07-30 16:09:01]364,Lucky Otter Costume, Character ID:1
[07-30 16:09:01]365,Medic Robe, Character ID:1
[07-30 16:09:01]366,Foster Robe, Character ID:1
[07-30 16:09:01]367,Travel Robe, Character ID:1
[07-30 16:09:01]368,Nurse Robe, Character ID:1
[07-30 16:09:01]369,Garcon Robe, Character ID:1
[07-30 16:09:01]370,Holy Robe, Character ID:1
[07-30 16:09:01]371,Follower Robe, Character ID:1
[07-30 16:09:01]372,Attendant Robe, Character ID:1
[07-30 16:09:01]373,Scholar Robe, Character ID:1
[07-30 16:09:01]374,Emergency Robe, Character ID:1
[07-30 16:09:01]375,Passage Robe, Character ID:1
[07-30 16:09:01]376,Healer Robe, Character ID:1
[07-30 16:09:01]377,Protector Robe, Character ID:1
[07-30 16:09:01]378,Piety Robe, Character ID:1
[07-30 16:09:01]379,Blessed Robe, Character ID:1
[07-30 16:09:01]380,Mousey Costume, Character ID:1
[07-30 16:09:01]381,Kitty Costume, Character ID:1
[07-30 16:09:01]382,Loopy Bunny Costume, Character ID:1
[07-30 16:09:01]383,Goaty Costume, Character ID:1
[07-30 16:09:01]384,Deer Costume, Character ID:1
[07-30 16:09:01]385,Otter Costume, Character ID:1
[07-30 16:09:01]386,Racoon Costume, Character ID:1
[07-30 16:09:01]388,Happy Bunny Costume, Character ID:1
[07-30 16:09:01]389,Night Owl Costume, Character ID:1
[07-30 16:09:01]390,Kangaroo Costume, Character ID:1
[07-30 16:09:01]391,Joyful Bunny Costume, Character ID:1
[07-30 16:09:01]392,Bunny Baby Costume, Character ID:1
[07-30 16:09:01]393,Lucky Bunny Costume, Character ID:1
[07-30 16:09:01]394,Heavenly Vest, Character ID:1
[07-30 16:09:01]395,Armor of Night, Character ID:2
[07-30 16:09:01]396,Armor of Secrets, Character ID:2
[07-30 16:09:01]397,Armor of Hercules, Character ID:1
[07-30 16:09:01]398,Armor of Olympus, Character ID:1
[07-30 16:09:01]399,Vest of Marksmanship, Character ID:2
[07-30 16:09:01]400,Vest of Apollo, Character ID:2
[07-30 16:09:01]401,Robe of the Wise, Character ID:1
[07-30 16:09:01]402,Robe of the Sage, Character ID:1
[07-30 16:09:01]403,Happy Panda Costume, Character ID:1
[07-30 16:09:01]404,Mystic Panda Costume, Character ID:1
[07-30 16:09:01]405,Fairy Robe, Character ID:1
[07-30 16:09:01]406,Faerie Robe, Character ID:1
[07-30 16:09:01]407,Gold Fish Costume, Character ID:1
[07-30 16:09:01]408,Fish Fairy Costume, Character ID:1
[07-30 16:09:01]409,Tidal Robe, Character ID:2
[07-30 16:09:01]410,Bear Costume, Character ID:1
[07-30 16:09:01]411,Tsunami Robe, Character ID:2
[07-30 16:09:01]412,Dragon Costume, Character ID:1
[07-30 16:09:01]413,Dragon Lord Costume, Character ID:1
[07-30 16:09:01]466,Husk Gloves, Character ID:3
[07-30 16:09:01]467,Thick Gloves, Character ID:3
[07-30 16:09:01]468,Leather Gloves, Character ID:3
[07-30 16:09:01]469,Rhino Hide Gloves, Character ID:3
[07-30 16:09:01]470,Tiger Hide Gloves, Character ID:3
[07-30 16:09:01]471,Gauntlets, Character ID:3
[07-30 16:09:01]472,Soft Leather Gloves, Character ID:3
[07-30 16:09:01]473,Heavy Leather Gloves, Character ID:3
[07-30 16:09:01]474,Strong Leather Gloves, Character ID:3
[07-30 16:09:01]475,Mithril Gauntlets, Character ID:3
[07-30 16:09:01]476,Chain Gauntlets, Character ID:3
[07-30 16:09:01]477,Strong Gauntlets, Character ID:3
[07-30 16:09:01]478,Light Gauntlets, Character ID:3
[07-30 16:09:01]479,Silver Gauntlets, Character ID:3
[07-30 16:09:01]480,Ceremonial Gauntlets, Character ID:3
[07-30 16:09:01]481,Coarse Gloves, Character ID:2
[07-30 16:09:01]482,Canvas Gloves, Character ID:2
[07-30 16:09:01]483,Exquisite Gloves, Character ID:2
[07-30 16:09:01]484,Leather Gloves, Character ID:2
[07-30 16:09:01]485,Warrior Gloves, Character ID:2
[07-30 16:09:01]486,Feather Gloves, Character ID:2
[07-30 16:09:01]487,Safari Gloves, Character ID:2
[07-30 16:09:01]488,Emerald Gloves, Character ID:2
[07-30 16:09:01]489,Hunter Gloves, Character ID:2
[07-30 16:09:01]490,Slick Gloves, Character ID:2
[07-30 16:09:01]491,Peacock Gloves, Character ID:2
[07-30 16:09:01]492,Ringdove Gloves, Character ID:2
[07-30 16:09:01]493,Raptor Gloves, Character ID:2
[07-30 16:09:01]511,Cloth Gloves, Character ID:2
[07-30 16:09:01]512,Tough Gloves, Character ID:2
[07-30 16:09:01]513,Explorer Gloves, Character ID:2
[07-30 16:09:01]514,Adventure Gloves, Character ID:2
[07-30 16:09:01]515,Helmsman Gloves, Character ID:2
[07-30 16:09:01]516,Oarsman Gloves, Character ID:2
[07-30 16:09:01]517,Deckman Gloves, Character ID:2
[07-30 16:09:01]518,Mastman Gloves, Character ID:2
[07-30 16:09:01]519,Hurricane Gloves, Character ID:2
[07-30 16:09:01]520,Whirlpool Gloves, Character ID:2
[07-30 16:09:01]521,Wind Gloves, Character ID:2
[07-30 16:09:01]526,Crabby Gloves, Character ID:1
[07-30 16:09:01]527,Rooroo Muffs, Character ID:1
[07-30 16:09:01]528,Playful Racoon Muffs, Character ID:1
[07-30 16:09:01]529,Duckling Muffs, Character ID:1
[07-30 16:09:01]530,Big Crab Muffs, Character ID:1
[07-30 16:09:01]531,Lobster Muffs, Character ID:1
[07-30 16:09:01]532,Ducky Muffs, Character ID:1
[07-30 16:09:01]533,Prawn Muffs, Character ID:1
